id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
225041,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 28, 2015",2015,"Jan 28, 2015",2015,credit-suisse-ag-singapore-branch,"Credit Suisse AG, Singapore Branch","Credit Suisse AG, Singapore Branch",Asia,Singapore,SGP,as-expobank-riga-latvia-lva,AS Expobank,Europe,Latvia,LVA,1,3000000
225042,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 23, 2015",2015,"Feb 27, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,2,3800000
225043,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 21, 2015",2015,"Feb 27, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,10,4814000
225044,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 20, 2015",2015,"Feb 20, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,5250000
225045,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 19, 2015",2015,"Feb 19, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,10000000
225047,2457,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 15, 2015",2015,"Feb 26, 2015",2015,as-expobank,AS Expobank,AS Expobank,Europe,Latvia,LVA,turkiye-finans-katilim-bankasi-as-istanbul-turkey-tur,Turkiye Finans Katilim Bankasi A.S.,Asia,Turkey,TUR,9,5950260
225073,2476,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 21, 2015",2015,"Dec 21, 2015",2015,efg-bank,EFG Bank,EFG Bank,Europe,Switzerland,CHE,transkapitalbank-public-joint-stock-public-joint-stock-company-moscow-russia-rus,Transkapitalbank Public Joint Stock Public Joint Stock Company,Europe,Russia,RUS,1,551020.56
225074,2476,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 29, 2015",2015,"Dec 29, 2015",2015,trasta-komercbanka,Trasta Komercbanka,Trasta Komercbanka,Europe,Latvia,LVA,kazkommertsbank-almaty-kazakhstan-kaz,Kazkommertsbank,Asia,Kazakhstan,KAZ,2,463974
225077,2476,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 3, 2015",2015,"Dec 3, 2015",2015,dbs-bank-ltd,DBS Bank Ltd,DBS Bank Ltd,Asia,Singapore,SGP,trasta-komercbanka-riga-latvia-lva,Trasta Komercbanka,Europe,Latvia,LVA,1,320000
225082,2476,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 24, 2015",2015,"Dec 24, 2015",2015,trasta-komercbanka,Trasta Komercbanka,Trasta Komercbanka,Europe,Latvia,LVA,kazkommertsbank-almaty-kazakhstan-kaz,Kazkommertsbank,Asia,Kazakhstan,KAZ,2,1899974
